Groups:
GPIO_[13..4] =, GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4],  unsigned decimal

Data:
time unit: ms, GPIO_[13..4], GPIO_[13], GPIO_[12], GPIO_[11], GPIO_[10], GPIO_[9], GPIO_[8], GPIO_[7], GPIO_[6], GPIO_[5], GPIO_[4], 
0, X, X, X, X, X, X, X, X, X, X, X, 
323, 405, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 
324, 408, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 
325, 408, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 
326, 411, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 
327, 411, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 
328, 411, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 
329, 414, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 
330, 414, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 
331, 417, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 
332, 417, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 
333, 417, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 
334, 420, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 
335, 420, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 
336, 423, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 
337, 423, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 
338, 423, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 
339, 426, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 
340, 426, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 
341, 429, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 
342, 429, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 
343, 429, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 
344, 432, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 
345, 432, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 
346, 435, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 
347, 435, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 
348, 439, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 
349, 439, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 
350, 439, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 
351, 442, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 
352, 442, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 
